Date,Hour, Min., Sec., Elapse[min.],MFC-1[sccm],MFC-2[sccm],MFC-3[sccm],MFC-4[sccm],MFC-5[sccm],MFC-6[sccm],Pre-HT['C],HJ['C],HB-1['C],HB-2['C],HB-3['C],HB-4['C],HB-5['C],TI-1['C],TI-2['C],TI-3['C],TI-4['C],TI-5['C],TI-6['C],TI-7['C],TI-8['C],TI-9['C],TI-10['C],TI-11['C],TI-12['C],TI-13['C],TI-14['C],TI-15['C],TI-16['C],TI-SP1['C],TI-SP2['C],PT-1[bar],Volt[V],Curr[A]
2025-11-04-,22,31,32,0.30,48.88,-1.35,-1.36,-0.86,-0.08,-0.40,200.00,100.00,0.00,100.30,99.90,0.00,89.60,67.10,68.00,71.90,82.10,94.40,98.70,100.30,90.60,83.40,83.30,75.80,90.90,62.30,71.10,75.80,61.00,1448.50,1448.50,0.006,4.520,87.000
2025-11-04-,22,31,33,0.32,48.95,-1.36,-1.36,-0.87,-0.08,-0.40,200.00,100.00,0.00,100.30,99.90,0.00,89.50,68.30,69.40,73.60,84.10,96.70,101.40,103.00,93.00,85.50,85.60,77.70,93.50,62.30,71.10,75.80,61.00,1448.50,1448.50,0.006,4.530,87.000
2025-11-04-,22,31,34,0.33,48.98,-1.35,-1.35,-0.87,-0.08,-0.40,200.00,100.00,0.00,100.30,99.90,0.00,89.50,68.30,69.40,73.60,84.10,96.70,101.40,103.00,93.00,85.50,85.60,77.70,93.50,63.70,73.00,78.30,62.70,1448.50,1448.50,0.005,4.530,87.000
2025-11-04-,22,31,35,0.35,49.08,-1.35,-1.35,-0.87,-0.08,-0.40,200.00,99.90,0.00,100.30,99.90,0.00,89.50,68.30,69.40,73.60,84.10,96.70,101.40,103.00,93.00,85.50,85.60,77.70,93.50,63.70,73.00,78.30,62.70,1448.50,1448.50,0.005,4.530,87.000
2025-11-04-,22,31,36,0.37,49.11,-1.35,-1.36,-0.86,-0.08,-0.40,200.00,99.90,0.00,100.30,99.90,0.00,89.50,69.60,70.80,75.50,86.00,99.10,104.20,106.20,95.30,87.60,87.80,79.50,96.40,63.70,73.00,78.30,62.70,1448.50,1448.50,0.005,4.530,87.000
2025-11-04-,22,31,37,0.38,49.08,-1.35,-1.35,-0.87,-0.08,-0.40,200.00,99.90,0.00,100.30,99.90,0.00,89.50,69.60,70.80,75.50,86.00,99.10,104.20,106.20,95.30,87.60,87.80,79.50,96.40,65.20,75.20,80.80,64.70,1448.50,1448.50,0.006,4.540,87.000
2025-11-04-,22,31,38,0.40,49.11,-1.35,-1.36,-0.86,-0.08,-0.40,200.00,100.00,0.00,100.30,99.80,0.00,89.50,69.60,70.80,75.50,86.00,99.10,104.20,106.20,95.30,87.60,87.80,79.50,96.40,65.20,75.20,80.80,64.70,1448.50,1448.50,0.006,4.540,87.000
2025-11-04-,22,31,39,0.42,49.17,-1.33,-1.36,-0.85,-0.08,-0.40,200.00,100.00,0.00,100.30,99.80,0.00,89.50,71.10,72.20,77.30,88.10,102.10,107.50,109.20,97.90,90.00,90.50,81.60,99.80,66.60,75.20,83.80,64.70,1448.50,1448.50,0.006,4.540,87.000
2025-11-04-,22,31,40,0.43,49.20,-1.36,-1.35,-0.86,-0.08,-0.40,200.00,100.00,0.00,100.30,99.80,0.00,89.50,71.10,72.20,77.30,88.10,102.10,107.50,109.20,97.90,90.00,90.50,81.60,99.80,66.60,77.40,83.80,66.70,1448.50,1448.50,0.006,4.540,87.000
2025-11-04-,22,31,41,0.45,49.18,-1.35,-1.36,-0.87,-0.08,-0.40,200.00,100.00,0.00,100.20,99.80,0.00,89.50,72.80,72.20,79.50,88.10,105.10,107.50,109.20,97.90,90.00,90.50,81.60,99.80,66.60,77.40,83.80,66.70,1448.50,1448.50,0.006,4.540,87.000
2025-11-04-,22,31,42,0.47,49.22,-1.33,-1.36,-0.85,-0.08,-0.40,200.00,100.00,0.00,100.20,99.80,0.00,89.50,72.80,74.00,79.50,90.30,105.10,110.60,112.70,100.70,92.30,93.00,83.80,103.40,68.40,77.40,86.60,66.70,1448.50,1448.50,0.006,4.540,87.000
2025-11-04-,22,31,43,0.48,49.26,-1.33,-1.36,-0.88,-0.08,-0.40,200.00,100.00,0.00,100.20,99.80,0.00,89.50,72.80,74.00,79.50,90.30,105.10,110.60,112.70,100.70,92.30,93.00,83.80,103.40,68.40,80.00,86.60,69.00,1448.50,1448.50,0.006,4.550,87.000
2025-11-04-,22,31,44,0.50,49.25,-1.33,-1.36,-0.87,-0.08,-0.40,200.00,100.00,0.00,100.10,99.80,0.00,89.50,74.40,74.00,81.70,90.30,108.10,110.60,112.70,100.70,92.30,93.00,83.80,103.40,68.40,80.00,86.60,69.00,1448.50,1448.50,0.006,4.550,87.000
2025-11-04-,22,31,45,0.52,49.29,-1.34,-1.35,-0.85,-0.08,-0.40,200.00,100.00,0.00,100.10,99.80,0.00,89.50,74.40,75.80,81.70,92.80,108.10,114.20,116.00,103.40,95.10,95.90,86.00,106.90,70.00,82.40,90.00,71.60,1448.50,1448.50,0.006,4.550,87.000
2025-11-04-,22,31,46,0.53,49.30,-1.35,-1.36,-0.86,-0.08,-0.40,200.00,100.00,0.00,100.10,99.80,0.00,89.50,74.40,75.80,81.70,92.80,108.10,114.20,116.00,103.40,95.10,95.90,86.00,106.90,70.00,82.40,90.00,71.60,1448.50,1448.50,0.006,4.550,87.000
2025-11-04-,22,31,47,0.55,49.32,-1.35,-1.35,-0.87,-0.08,-0.40,200.00,100.00,0.00,100.10,99.80,0.00,89.50,76.30,75.80,83.90,92.80,111.50,114.20,116.00,103.40,95.10,95.90,86.00,106.90,70.00,82.40,90.00,71.60,1448.50,1448.50,0.006,4.560,87.000
2025-11-04-,22,31,48,0.57,49.30,-1.34,-1.35,-0.87,-0.08,-0.40,200.00,100.00,0.00,100.10,99.80,0.00,89.50,76.30,77.60,83.90,95.40,111.50,118.00,120.00,106.50,97.90,98.90,88.50,110.90,71.90,85.30,93.50,74.00,1448.50,1448.50,0.006,4.560,87.000
2025-11-04-,22,31,49,0.58,49.33,-1.35,-1.35,-0.88,-0.08,-0.40,200.00,100.00,0.00,100.10,99.80,0.00,89.50,76.30,77.60,83.90,95.40,111.50,118.00,120.00,106.50,97.90,98.90,88.50,110.90,71.90,85.30,93.50,74.00,1448.50,1448.50,0.005,4.570,87.000
2025-11-04-,22,31,50,0.60,49.33,-1.36,-1.35,-0.87,-0.08,-0.40,200.00,100.00,0.00,100.10,99.80,0.00,89.50,78.30,79.60,86.30,98.00,115.00,121.70,120.00,106.50,97.90,98.90,88.50,110.90,71.90,85.30,93.50,74.00,1448.50,1448.50,0.005,4.570,87.000
2025-11-04-,22,31,51,0.62,49.32,-1.33,-1.35,-0.87,-0.08,-0.40,200.00,100.00,0.00,100.10,99.80,0.00,89.50,78.30,79.60,86.30,98.00,115.00,121.70,124.00,109.40,100.70,101.90,90.90,114.80,73.90,88.00,96.90,76.80,1448.50,1448.50,0.005,4.570,87.000
2025-11-04-,22,31,52,0.63,49.32,-1.35,-1.36,-0.87,-0.08,-0.40,200.00,99.90,0.00,100.00,99.80,0.00,89.50,78.30,79.60,86.30,98.00,115.00,121.70,124.00,109.40,100.70,101.90,90.90,114.80,73.90,88.00,96.90,76.80,1448.50,1448.50,0.006,4.580,87.000
2025-11-04-,22,31,53,0.65,49.32,-1.34,-1.35,-0.87,-0.08,-0.40,200.00,99.90,0.00,100.00,99.80,0.00,89.50,80.10,81.60,88.70,100.70,118.50,125.80,127.80,109.40,103.80,101.90,93.60,114.80,73.90,88.00,96.90,76.80,1448.50,1448.50,0.006,4.580,87.000
2025-11-04-,22,31,54,0.67,49.37,-1.35,-1.35,-0.86,-0.08,-0.40,200.00,99.90,0.00,100.00,99.80,0.00,89.50,80.10,81.60,88.70,100.70,118.50,125.80,127.80,112.80,103.80,105.00,93.60,119.20,75.80,91.20,100.40,79.60,1448.50,1448.50,0.006,4.580,87.000
2025-11-04-,22,31,55,0.68,49.34,-1.35,-1.36,-0.87,-0.08,-0.40,200.00,100.00,0.00,100.00,99.80,0.00,89.50,80.10,81.60,88.70,100.70,118.50,125.80,127.80,112.80,103.80,105.00,93.60,119.20,75.80,91.20,100.40,79.60,1448.50,1448.50,0.005,4.580,87.000
2025-11-04-,22,31,56,0.70,49.34,-1.35,-1.35,-0.86,-0.08,-0.40,200.00,100.00,0.00,100.00,99.80,0.00,89.50,82.10,83.80,91.10,103.60,122.10,129.80,131.80,112.80,106.80,105.00,96.30,119.20,75.80,91.20,100.40,79.60,1448.50,1448.50,0.005,4.590,87.000
2025-11-04-,22,31,57,0.72,49.33,-1.35,-1.35,-0.87,-0.08,-0.40,200.00,100.00,0.00,100.00,99.80,0.00,89.50,82.10,83.80,91.10,103.60,122.10,129.80,131.80,116.00,106.80,108.50,96.30,123.40,77.80,94.20,104.40,82.70,1448.50,1448.50,0.005,4.590,87.000
2025-11-04-,22,31,58,0.73,49.34,-1.35,-1.35,-0.87,-0.08,-0.40,200.00,100.00,0.00,99.90,99.80,0.00,89.50,82.10,83.80,91.10,103.60,122.10,129.80,131.80,116.00,106.80,108.50,96.30,123.40,77.80,94.20,104.40,82.70,1448.50,1448.50,0.005,4.590,87.000
2025-11-04-,22,31,59,0.75,49.36,-1.36,-1.36,-0.87,-0.08,-0.40,200.00,100.00,0.00,99.90,99.80,0.00,89.50,84.50,86.00,93.90,106.50,126.20,134.30,136.30,119.40,110.00,111.80,99.00,128.10,77.80,94.20,104.40,82.70,1448.50,1448.50,0.005,4.590,87.000
2025-11-04-,22,32, 0,0.77,49.36,-1.35,-1.35,-0.86,-0.08,-0.40,200.00,100.00,0.00,99.90,99.80,0.00,89.50,84.50,86.00,93.90,106.50,126.20,134.30,136.30,119.40,110.00,111.80,99.00,128.10,80.00,97.60,108.20,85.70,1448.50,1448.50,0.006,4.600,87.000
2025-11-04-,22,32, 1,0.78,49.40,-1.35,-1.35,-0.86,-0.08,-0.40,200.00,100.00,0.00,99.90,99.80,0.00,89.50,84.50,86.00,93.90,106.50,126.20,134.30,136.30,119.40,110.00,111.80,99.00,128.10,80.00,97.60,108.20,85.70,1448.50,1448.50,0.006,4.600,87.000
2025-11-04-,22,32, 2,0.80,49.35,-1.35,-1.36,-0.84,-0.08,-0.40,200.00,100.00,0.00,99.90,99.80,0.00,89.50,86.70,88.40,96.80,109.90,130.10,138.50,140.50,123.20,113.50,115.60,102.20,132.60,82.20,97.60,112.50,85.70,1448.50,1448.50,0.006,4.600,87.000
2025-11-04-,22,32, 3,0.82,49.36,-1.35,-1.35,-0.85,-0.08,-0.40,200.00,100.00,0.00,99.90,99.80,0.00,89.50,86.70,88.40,96.80,109.90,130.10,138.50,140.50,123.20,113.50,115.60,102.20,132.60,82.20,100.90,112.50,89.10,1448.50,1448.50,0.006,4.600,87.000
2025-11-04-,22,32, 4,0.83,49.36,-1.35,-1.35,-0.83,-0.08,-0.40,200.00,99.90,0.00,99.80,99.80,0.00,89.50,86.70,88.40,96.80,109.90,130.10,138.50,140.50,123.20,113.50,115.60,102.20,132.60,82.20,100.90,112.50,89.10,1448.50,1448.50,0.006,4.600,87.000
2025-11-04-,22,32, 5,0.85,49.41,-1.35,-1.35,-0.88,-0.08,-0.40,200.00,99.90,0.00,99.80,99.80,0.00,89.50,89.20,90.80,99.60,113.40,134.50,143.30,145.10,127.10,117.30,119.70,105.50,137.70,84.70,100.90,116.90,89.10,1448.50,1448.50,0.006,4.600,87.000
2025-11-04-,22,32, 6,0.87,49.38,-1.35,-1.35,-0.87,-0.08,-0.40,200.00,99.90,0.00,99.80,99.80,0.00,89.50,89.20,90.80,99.60,113.40,134.50,143.30,145.10,127.10,117.30,119.70,105.50,137.70,84.70,104.60,116.90,92.30,1448.50,1448.50,0.005,4.600,87.000
2025-11-04-,22,32, 7,0.88,49.39,-1.35,-1.36,-0.85,-0.08,-0.40,200.00,99.90,0.00,99.70,99.80,0.00,89.50,89.20,90.80,99.60,113.40,134.50,143.30,145.10,127.10,117.30,119.70,105.50,137.70,84.70,104.60,116.90,92.30,1448.50,1448.50,0.005,4.610,87.000
2025-11-04-,22,32, 8,0.90,49.37,-1.35,-1.35,-0.86,-0.08,-0.40,200.00,99.90,0.00,99.70,99.80,0.00,89.50,91.60,93.50,102.80,116.70,139.10,148.20,150.10,130.70,120.90,123.50,108.70,142.60,87.20,108.10,121.10,96.00,1448.50,1448.50,0.005,4.610,87.000
2025-11-04-,22,32, 9,0.92,49.38,-1.33,-1.35,-0.87,-0.08,-0.40,200.00,99.90,0.00,99.70,99.80,0.00,89.50,91.60,93.50,102.80,116.70,139.10,148.20,150.10,130.70,120.90,123.50,108.70,142.60,87.20,108.10,121.10,96.00,1448.50,1448.50,0.005,4.610,87.000
2025-11-04-,22,32,10,0.93,49.42,-1.35,-1.35,-0.87,-0.08,-0.40,200.00,99.90,0.00,99.60,99.80,0.00,89.50,94.40,93.50,106.10,116.70,143.50,148.20,150.10,130.70,120.90,123.50,108.70,142.60,87.20,108.10,121.10,96.00,1448.50,1448.50,0.005,4.610,87.000
2025-11-04-,22,32,11,0.95,49.37,-1.35,-1.35,-0.87,-0.08,-0.40,200.00,99.90,0.00,99.60,99.80,0.00,89.50,94.40,96.30,106.10,120.50,143.50,152.80,154.60,135.00,124.90,127.80,112.40,148.00,89.70,112.10,125.80,99.90,1448.50,1448.50,0.005,4.610,87.000
2025-11-04-,22,32,12,0.97,49.39,-1.35,-1.35,-0.88,-0.08,-0.40,200.00,99.90,0.00,99.60,99.80,0.00,89.50,94.40,96.30,106.10,120.50,143.50,152.80,154.60,135.00,124.90,127.80,112.40,148.00,89.70,112.10,125.80,99.90,1448.50,1448.50,0.005,4.610,87.000
2025-11-04-,22,32,13,0.98,49.40,-1.35,-1.34,-0.88,-0.08,-0.40,200.00,99.90,0.00,99.50,99.80,0.00,89.50,97.20,99.00,109.30,124.20,148.40,158.10,154.60,135.00,124.90,127.80,112.40,148.00,89.70,112.10,125.80,99.90,1448.50,1448.50,0.005,4.610,87.000
2025-11-04-,22,32,14,1.00,49.38,-1.35,-1.35,-0.86,-0.08,-0.40,200.00,99.90,0.00,99.50,99.80,0.00,89.50,97.20,99.00,109.30,124.20,148.40,158.10,159.70,139.00,128.80,131.90,115.80,153.60,92.40,116.30,130.30,103.50,1448.50,1448.50,0.005,4.610,87.000
2025-11-04-,22,32,15,1.02,49.39,-1.36,-1.35,-0.88,-0.08,-0.40,200.00,99.90,0.00,99.40,99.80,0.00,89.50,97.20,99.00,109.30,124.20,148.40,158.10,159.70,139.00,128.80,131.90,115.80,153.60,92.40,116.30,130.30,103.50,1448.50,1448.50,0.005,4.620,87.000
2025-11-04-,22,32,16,1.03,49.39,-1.35,-1.36,-0.87,-0.08,-0.40,200.00,99.90,0.00,99.40,99.80,0.00,89.50,100.00,101.80,112.90,128.30,153.10,163.00,159.70,139.00,128.80,131.90,115.80,153.60,92.40,116.30,130.30,103.50,1448.50,1448.50,0.005,4.620,87.000
2025-11-04-,22,32,17,1.05,49.39,-1.36,-1.35,-0.88,-0.08,-0.40,200.00,99.90,0.00,99.40,99.80,0.00,89.50,100.00,101.80,112.90,128.30,153.10,163.00,164.50,143.40,133.30,136.60,119.80,158.90,95.00,120.10,135.20,107.40,1448.50,1448.50,0.005,4.620,87.000
2025-11-04-,22,32,18,1.07,49.39,-1.35,-1.35,-0.87,-0.08,-0.40,200.00,100.00,0.00,99.50,99.80,0.00,89.50,100.00,101.80,112.90,128.30,153.10,163.00,164.50,143.40,133.30,136.60,119.80,158.90,95.00,120.10,135.20,107.40,1448.50,1448.50,0.005,4.620,87.000
2025-11-04-,22,32,19,1.08,49.41,-1.35,-1.34,-0.87,-0.08,-0.40,200.00,100.00,0.00,99.50,99.80,0.00,89.50,102.90,104.90,116.30,132.20,158.30,168.50,169.80,143.40,137.40,136.60,123.50,158.90,95.00,120.10,135.20,107.40,1448.50,1448.50,0.005,4.620,87.000
2025-11-04-,22,32,20,1.10,49.41,-1.36,-1.35,-0.86,-0.08,-0.40,200.00,100.00,0.00,99.50,99.80,0.00,89.50,102.90,104.90,116.30,132.20,158.30,168.50,169.80,147.60,137.40,141.00,123.50,164.30,98.00,124.20,139.90,111.60,1448.50,1448.50,0.005,4.620,87.000
2025-11-04-,22,32,21,1.12,49.40,-1.35,-1.36,-0.84,-0.08,-0.40,200.00,99.90,0.00,99.50,99.80,0.00,89.50,102.90,104.90,116.30,132.20,158.30,168.50,169.80,147.60,137.40,141.00,123.50,164.30,98.00,124.20,139.90,111.60,1448.50,1448.50,0.005,4.620,87.000
2025-11-04-,22,32,22,1.13,49.41,-1.34,-1.35,-0.87,-0.08,-0.40,200.00,99.90,0.00,99.50,99.70,0.00,89.50,106.00,107.90,119.80,136.70,163.10,173.60,174.70,152.30,142.10,145.90,127.70,170.30,98.00,124.20,139.90,111.60,1448.50,1448.50,0.005,4.620,87.000
2025-11-04-,22,32,23,1.15,49.44,-1.35,-1.35,-0.86,-0.08,-0.40,200.00,99.90,0.00,99.50,99.70,0.00,89.50,106.00,107.90,119.80,136.70,163.10,173.60,174.70,152.30,142.10,145.90,127.70,170.30,100.80,128.70,144.70,115.60,1448.50,1448.50,0.005,4.620,87.000
2025-11-04-,22,32,24,1.17,49.41,-1.35,-1.34,-0.85,-0.08,-0.40,200.00,99.90,0.00,99.60,99.70,0.00,89.50,106.00,107.90,119.80,136.70,163.10,173.60,174.70,152.30,142.10,145.90,127.70,170.30,100.80,128.70,144.70,115.60,1448.50,1448.50,0.005,4.620,87.000
2025-11-04-,22,32,25,1.18,49.42,-1.36,-1.35,-0.86,-0.08,-0.40,200.00,99.90,0.00,99.60,99.80,0.00,89.50,109.00,111.30,123.70,140.80,168.60,178.70,179.70,156.70,146.60,150.50,131.70,175.90,100.80,128.70,144.70,115.60,1448.50,1448.50,0.005,4.620,87.000
2025-11-04-,22,32,26,1.20,49.42,-1.36,-1.35,-0.88,-0.08,-0.40,200.00,99.90,0.00,99.60,99.80,0.00,89.50,109.00,111.30,123.70,140.80,168.60,178.70,179.70,156.70,146.60,150.50,131.70,175.90,103.60,132.80,149.90,120.10,1448.50,1448.50,0.005,4.620,87.000
2025-11-04-,22,32,27,1.22,49.44,-1.35,-1.35,-0.86,-0.08,-0.40,200.00,99.90,0.00,99.60,99.80,0.00,89.50,109.00,111.30,123.70,140.80,168.60,178.70,179.70,156.70,146.60,150.50,131.70,175.90,103.60,132.80,149.90,120.10,1448.50,1448.50,0.005,4.630,87.000
2025-11-04-,22,32,28,1.23,49.42,-1.34,-1.35,-0.87,-0.08,-0.40,200.00,99.90,0.00,99.60,99.80,0.00,89.50,112.50,114.60,127.50,145.10,173.70,184.40,185.20,161.20,151.20,155.30,135.80,181.60,106.90,132.80,154.90,120.10,1448.50,1448.50,0.005,4.630,87.000
2025-11-04-,22,32,29,1.25,49.42,-1.35,-1.35,-0.86,-0.08,-0.40,200.00,99.90,0.00,99.60,99.80,0.00,89.50,112.50,114.60,127.50,145.10,173.70,184.40,185.20,161.20,151.20,155.30,135.80,181.60,106.90,137.50,154.90,124.40,1448.50,1448.50,0.005,4.630,87.000
2025-11-04-,22,32,30,1.27,49.42,-1.32,-1.35,-0.85,-0.08,-0.40,200.00,99.90,0.00,99.70,99.80,0.00,89.50,115.70,114.60,131.60,145.10,178.80,184.40,185.20,161.20,151.20,155.30,135.80,181.60,106.90,137.50,154.90,124.40,1448.50,1448.50,0.005,4.630,87.000
2025-11-04-,22,32,31,1.28,49.41,-1.33,-1.35,-0.85,-0.08,-0.40,200.00,99.90,0.00,99.70,99.80,0.00,89.50,115.70,117.80,131.60,150.00,178.80,189.70,190.30,166.20,156.20,160.60,140.40,187.80,110.00,141.90,159.80,128.70,1448.50,1448.50,0.005,4.630,87.000
2025-11-04-,22,32,32,1.30,49.42,-1.35,-1.35,-0.87,-0.08,-0.40,200.00,99.90,0.00,99.70,99.80,0.00,89.50,115.70,117.80,131.60,150.00,178.80,189.70,190.30,166.20,156.20,160.60,140.40,187.80,110.00,141.90,159.80,128.70,1448.50,1448.50,0.005,4.630,87.000
2025-11-04-,22,32,33,1.32,49.42,-1.35,-1.36,-0.87,-0.08,-0.40,200.00,99.90,0.00,99.70,99.80,0.00,89.50,119.00,121.50,135.50,154.50,184.50,195.60,190.30,166.20,156.20,160.60,140.40,187.80,110.00,141.90,159.80,128.70,1448.50,1448.50,0.005,4.630,87.000
2025-11-04-,22,32,34,1.33,49.42,-1.36,-1.35,-0.86,-0.08,-0.40,200.00,99.90,0.00,99.70,99.80,0.00,89.50,119.00,121.50,135.50,154.50,184.50,195.60,195.40,170.80,161.00,165.50,144.70,193.60,113.10,146.40,165.30,133.50,1448.50,1448.50,0.005,4.630,87.000
2025-11-04-,22,32,35,1.35,49.42,-1.35,-1.36,-0.85,-0.08,-0.40,200.00,100.00,0.00,99.70,99.80,0.00,89.50,119.00,121.50,135.50,154.50,184.50,195.60,195.40,170.80,161.00,165.50,144.70,193.60,113.10,146.40,165.30,133.50,1448.50,1448.50,0.005,4.630,87.000
2025-11-04-,22,32,36,1.37,49.42,-1.35,-1.36,-0.87,-0.08,-0.40,200.00,100.00,0.00,99.70,99.80,0.00,89.50,122.70,124.90,139.50,159.50,189.70,200.90,195.40,170.80,161.00,165.50,144.70,193.60,113.10,146.40,165.30,133.50,1448.50,1448.50,0.005,4.630,87.000
2025-11-04-,22,32,37,1.38,49.42,-1.35,-1.35,-0.85,-0.08,-0.40,200.00,100.00,0.00,99.70,99.80,0.00,89.50,122.70,124.90,139.50,159.50,189.70,200.90,201.00,175.90,166.30,171.00,149.50,199.90,116.50,151.40,170.40,137.90,1448.50,1448.50,0.005,4.630,87.000
2025-11-04-,22,32,38,1.40,49.43,-1.34,-1.35,-0.87,-0.08,-0.40,200.00,99.90,0.00,99.60,99.80,0.00,89.50,122.70,124.90,139.50,159.50,189.70,200.90,201.00,175.90,166.30,171.00,149.50,199.90,116.50,151.40,170.40,137.90,1448.50,1448.50,0.005,4.630,87.000
2025-11-04-,22,32,39,1.42,49.42,-1.36,-1.34,-0.87,-0.08,-0.40,200.00,99.90,0.00,99.60,99.80,0.00,89.40,126.10,128.80,144.00,164.30,195.00,206.20,206.20,175.90,171.30,171.00,154.00,199.90,116.50,151.40,170.40,137.90,1448.50,1448.50,0.005,4.630,87.000
2025-11-04-,22,32,40,1.43,49.46,-1.35,-1.36,-0.87,-0.08,-0.40,200.00,99.90,0.00,99.60,99.80,0.00,89.40,126.10,128.80,144.00,164.30,195.00,206.20,206.20,180.60,171.30,176.10,154.00,205.60,119.80,155.90,176.00,142.80,1448.50,1448.50,0.005,4.630,87.000
2025-11-04-,22,32,41,1.45,49.44,-1.35,-1.34,-0.84,-0.08,-0.40,200.00,100.00,0.00,99.70,99.80,0.00,89.40,126.10,128.80,144.00,164.30,195.00,206.20,206.20,180.60,171.30,176.10,154.00,205.60,119.80,155.90,176.00,142.80,1448.50,1448.50,0.005,4.630,87.000
2025-11-04-,22,32,42,1.47,49.45,-1.35,-1.36,-0.88,-0.08,-0.40,200.00,100.00,0.00,99.70,99.70,0.00,89.50,130.00,132.40,148.10,169.10,200.80,212.00,211.70,185.40,176.20,181.20,158.60,211.40,119.80,155.90,176.00,142.80,1448.50,1448.50,0.005,4.640,87.000
2025-11-04-,22,32,43,1.48,49.47,-1.35,-1.34,-0.86,-0.08,-0.40,200.00,100.00,0.00,99.70,99.70,0.00,89.50,130.00,132.40,148.10,169.10,200.80,212.00,211.70,185.40,176.20,181.20,158.60,211.40,123.20,160.60,181.10,147.40,1448.50,1448.50,0.005,4.640,87.000
2025-11-04-,22,32,44,1.50,49.45,-1.35,-1.35,-0.86,-0.08,-0.40,200.00,99.90,0.00,99.70,99.80,0.00,89.50,130.00,132.40,148.10,169.10,200.80,212.00,211.70,185.40,176.20,181.20,158.60,211.40,123.20,160.60,181.10,147.40,1448.50,1448.50,0.005,4.640,87.000
