Trial Number,Recovery Ratio,Flux,Energy Efficiency,Voltage,Electrolyte,LA conc
34,48.085116677814064,77.98444222807883,2.004045496819251,27.5,0.65,3.0
35,46.31146788597107,12.51798976957798,6.638735540643928,32.5,0.9,0.5
36,48.114140828450516,65.02626132965088,2.228225744649438,25.0,0.7,2.5
37,48.14584056536357,52.055282819271085,2.1618280156148355,15.0,0.55,2.0
38,4.979780978626676,8.076208791136741,11.212847490433118,22.5,0.4,3.0
39,48.00393581390381,64.87731925249099,1.9169244155895575,17.5,0.9500000000000001,2.5
40,46.54412964979808,25.161756488680837,3.2006551038593605,10.0,0.8,1.0
41,48.1540858745575,78.09629647135733,2.207230992313593,32.5,0.25,3.0
42,46.71222633785672,37.87894433736801,2.9997255738817774,20.0,0.3,1.5
43,48.02507162094117,77.88706115484237,2.3469420354709554,35.0,0.65,3.0
44,4.844166752364901,7.8562696389853945,9.29618452085086,12.5,0.8500000000000001,3.0
45,46.51036361853282,25.14350257217884,4.1079847536642795,22.5,0.75,1.0
46,48.16717406113943,52.07834859490394,2.1602582415407108,15.0,0.5,2.0
47,5.019679168860117,6.784096396714449,11.543210558305887,17.5,0.6000000000000001,2.5
48,47.996209727393264,77.84025293588638,2.2437205544050896,32.5,0.8,3.0
49,46.63793643315633,63.031171089410776,2.516635901507029,30.0,0.9500000000000001,2.5
50,4.839353677299288,7.848463793843984,10.850284386104057,20.0,0.45,3.0
51,48.05003603299459,51.95169895887375,2.153827285003179,15.0,0.75,2.0
52,46.77310585975647,50.571082055568695,1.9361688357545805,10.0,0.7,2.0
53,46.51516179243724,12.573048232495784,6.185036967805851,17.5,0.5,0.5
54,48.030153910319015,64.91275300979613,2.124587684302039,22.5,0.9,2.5
55,46.649757358762955,37.82828824222088,2.4895328323687753,12.5,0.8,1.5
56,46.65870798958673,75.67109261751175,2.1469254112747476,30.0,1.0,3.0
57,4.907740652561188,6.632811491936445,11.358358950413942,15.0,0.35,2.5
58,48.146297534306846,52.05577689409256,2.400483175183154,20.0,0.6000000000000001,2.0
59,48.06519879235162,77.95213940143584,1.9149788664986152,25.0,0.75,3.0
60,48.00393581390381,64.87731925249099,1.9169244155895575,17.5,0.9500000000000001,2.5
61,4.715772552622689,7.648039925843476,10.57280822311286,17.5,0.5,3.0
62,4.729203879833222,7.669822852313518,9.967334569144269,15.0,0.7,3.0
63,46.41285041968028,12.545393468439578,6.244438039360627,20.0,0.8500000000000001,0.5
64,48.101269536548195,78.01063893437384,1.6632246359746328,17.5,0.75,3.0
65,4.588152799341414,7.441066209971904,10.346603505692158,15.0,0.45,3.0
66,46.58632973829906,25.184569856524465,3.682578054308962,17.5,0.55,1.0
67,4.974910782443153,8.068310306966305,10.513105670756367,20.0,0.65,3.0
68,46.54382334815132,37.742386353015895,3.612204410206189,27.5,0.9,1.5
69,48.081298669179276,64.9818751513958,1.8225990596791433,15.0,0.8,2.5
70,5.067017757230335,8.217689398676157,11.174049666774877,22.5,0.25,3.0
71,48.10679753621419,65.01633687019348,1.9208382908465709,17.5,0.75,2.5
72,48.065900802612305,51.96885194778442,2.284743754717742,17.5,0.75,2.0
73,48.05988470713298,64.95293418169021,2.7253091866307244,35.0,0.7,2.5
74,46.43004139264425,12.550040188431739,6.078405836063226,17.5,0.8,0.5
75,48.12446733315786,52.032174080610275,2.403457793403555,20.0,0.65,2.0
76,48.05571635564168,64.94730065464974,1.8209950457103932,15.0,0.8500000000000001,2.5
77,46.66765034198761,25.2285317748785,3.371797390647003,12.5,0.3,1.0
78,48.07673295338948,64.97570458650588,2.6026902198416146,32.5,0.7,2.5
79,48.091130124198074,77.99419483542442,1.7383652597609927,20.0,0.75,3.0
80,46.4980701605479,25.13685672879219,5.065324828566326,30.0,0.4,1.0
81,46.59548070695666,37.784275305271144,2.8185571349460004,17.5,0.9500000000000001,1.5
82,5.019679168860117,6.784096396714449,11.543210558305887,17.5,0.6000000000000001,2.5
83,5.034398287534715,8.164787142723798,11.015324091916472,22.5,0.55,3.0
84,46.604062120119735,50.38831196427345,2.8744711661798825,27.5,1.0,2.0
85,48.058748245239265,77.94167790412902,1.6674705248777908,17.5,0.8500000000000001,3.0
86,4.895024498303732,6.615625609457492,11.260527109326173,15.0,0.6000000000000001,2.5
87,46.45092785358429,12.555685798823832,6.29097030455627,20.0,0.65,0.5
88,4.623793479469088,7.498868265002965,9.274578122110142,10.0,0.8,3.0
89,48.185714085896805,65.12299258708954,2.570476197763104,32.5,0.35,2.5
90,5.168454100688299,8.382198860496283,11.737119752586047,25.0,0.35,3.0
91,48.12706708908081,65.04373117089271,2.014460431492589,20.0,0.7,2.5
92,48.030287027359016,77.89551950097083,2.2412788286729572,32.5,0.7,3.0
93,47.993120219972404,77.83524237275122,2.357296160509101,35.0,0.75,3.0
94,48.07081156306797,77.96124219298362,1.7409351723965922,20.0,0.8,3.0
95,4.720810386869643,7.6562102854251854,10.614131659148843,17.5,0.3,3.0
96,4.797522806459003,7.780622487515211,9.835447756044388,15.0,0.75,3.0
97,4.729203879833222,7.669822852313518,9.967334569144269,15.0,0.7,3.0
98,4.6664439141750345,7.568038740009069,9.621499957339148,12.5,0.75,3.0
99,46.61596152517531,37.80088320076465,3.0122945938645813,20.0,0.8,1.5
