exp,t,T,V,E,CF_LA,CA_LA,CF_K,CB_K,VF,VA,VB
14,4,20.25 ,10,0.25,0.314 ,0.770 ,0.168 ,0.928 ,1.330 ,0.756 ,1.914 
14,5,20.25 ,10,0.25,0.292 ,0.809 ,0.158 ,0.935 ,1.330 ,0.756 ,1.914 
15,0,26.70 ,30,0.25,3.000 ,0.000 ,6.000 ,0.000 ,1.000 ,1.000 ,6.000 
15,1,26.70 ,30,0.25,2.603 ,0.160 ,4.318 ,0.218 ,1.091 ,1.000 ,5.909 
15,3,26.70 ,30,0.25,2.252 ,0.519 ,2.638 ,0.532 ,1.092 ,1.042 ,5.866 
15,4,26.70 ,30,0.25,2.422 ,0.535 ,2.190 ,0.644 ,1.000 ,1.082 ,5.918 
15,5,26.70 ,30,0.25,2.366 ,0.759 ,1.781 ,0.742 ,0.893 ,1.168 ,5.939 
15,6,26.70 ,30,0.25,2.356 ,0.949 ,1.431 ,0.829 ,0.749 ,1.303 ,5.949 
15,7,26.70 ,30,0.25,2.177 ,1.228 ,1.244 ,0.879 ,0.580 ,1.415 ,6.005 
15,8,26.70 ,30,0.25,1.567 ,1.573 ,0.780 ,0.936 ,0.386 ,1.523 ,6.091 
16,0,23.76 ,30,0.25,3.000 ,0.000 ,6.000 ,0.000 ,1.000 ,1.000 ,3.000 
16,1,23.76 ,30,0.25,2.527 ,0.221 ,4.467 ,0.374 ,1.100 ,1.000 ,2.900 
16,2,23.76 ,30,0.25,2.461 ,0.252 ,3.651 ,0.663 ,1.118 ,0.988 ,2.894 
16,3,23.76 ,30,0.25,2.122 ,0.530 ,2.957 ,0.907 ,1.162 ,1.010 ,2.828 
16,4,23.76 ,30,0.25,2.096 ,0.635 ,2.586 ,1.084 ,1.122 ,1.020 ,2.857 
16,5,23.76 ,30,0.25,1.904 ,0.846 ,2.113 ,1.270 ,1.122 ,1.020 ,2.857 
16,7,23.76 ,30,0.25,2.028 ,0.916 ,1.399 ,1.611 ,0.960 ,1.148 ,2.891 
17,0,18.04 ,20,0.25,1.000 ,0.000 ,2.000 ,0.000 ,1.000 ,1.000 ,2.000 
17,1,18.04 ,20,0.25,0.901 ,0.054 ,1.705 ,0.107 ,1.050 ,1.000 ,1.950 
17,3,18.04 ,20,0.25,0.793 ,0.128 ,1.223 ,0.345 ,1.100 ,1.000 ,1.900 
17,4,18.04 ,20,0.25,0.760 ,0.164 ,0.998 ,0.475 ,1.100 ,1.000 ,1.900 
17,5,18.04 ,20,0.25,0.724 ,0.204 ,0.795 ,0.592 ,1.100 ,1.000 ,1.900 
17,6,18.04 ,20,0.25,0.706 ,0.245 ,0.630 ,0.687 ,1.070 ,1.000 ,1.930 
17,7,18.04 ,20,0.25,0.678 ,0.298 ,0.491 ,0.763 ,1.030 ,1.010 ,1.960 
18,0,18.81 ,30,0.25,1.000 ,0.000 ,2.000 ,0.000 ,1.000 ,1.000 ,2.000 
18,2,18.81 ,30,0.25,0.849 ,0.079 ,1.301 ,0.305 ,1.086 ,0.988 ,1.926 
18,3,18.81 ,30,0.25,0.829 ,0.132 ,0.982 ,0.502 ,1.045 ,1.015 ,1.940 
18,4,18.81 ,30,0.25,0.774 ,0.226 ,0.646 ,0.682 ,0.995 ,1.015 ,1.990 
18,5,18.81 ,30,0.25,0.716 ,0.324 ,0.423 ,0.805 ,0.905 ,1.085 ,2.010 
18,6,18.81 ,30,0.25,0.622 ,0.445 ,0.272 ,0.857 ,0.810 ,1.114 ,2.076 
19,0,19.56 ,30,0.25,0.500 ,0.000 ,1.000 ,0.000 ,1.000 ,1.000 ,2.000 
19,2,19.56 ,30,0.25,0.448 ,0.052 ,0.604 ,0.198 ,1.000 ,1.000 ,2.000 
19,3,19.56 ,30,0.25,0.383 ,0.117 ,0.311 ,0.344 ,1.000 ,1.000 ,2.000 
19,4,19.56 ,30,0.25,0.266 ,0.248 ,0.140 ,0.426 ,0.900 ,1.050 ,2.050 
19,5,19.56 ,30,0.25,0.077 ,0.395 ,0.045 ,0.469 ,0.850 ,1.100 ,2.050 
19,6,19.56 ,30,0.25,0.000 ,0.449 ,0.005 ,0.480 ,0.810 ,1.114 ,2.076 
20,0,22.69 ,30,0.25,3.000 ,0.000 ,6.000 ,0.000 ,1.000 ,1.000 ,3.000 
20,2.0,22.69 ,30,0.25,2.243 ,0.453 ,3.684 ,0.630 ,1.137 ,0.989 ,2.873 
20,3.0,22.69 ,30,0.25,1.955 ,0.665 ,3.065 ,0.835 ,1.194 ,1.003 ,2.803 
20,4.2,22.69 ,30,0.25,1.809 ,0.826 ,2.592 ,1.032 ,1.201 ,1.001 ,2.798 
20,5.0,22.69 ,30,0.25,1.652 ,1.043 ,2.258 ,1.179 ,1.186 ,0.997 ,2.817 
20,6.0,22.69 ,30,0.25,1.764 ,0.946 ,2.010 ,1.308 ,1.149 ,1.029 ,2.822 
21,0,21.29 ,20,0.25,0.500 ,0.000 ,1.000 ,0.000 ,1.000 ,1.000 ,1.000 
21,1,21.29 ,20,0.25,0.477 ,0.014 ,0.922 ,0.061 ,1.020 ,0.990 ,0.990 
21,3.0,21.29 ,20,0.25,0.439 ,0.031 ,0.686 ,0.284 ,1.069 ,0.990 ,0.941 
21,4.0,21.29 ,20,0.25,0.406 ,0.065 ,0.516 ,0.473 ,1.073 ,0.983 ,0.944 
21,5.0,21.29 ,20,0.25,0.372 ,0.107 ,0.317 ,0.684 ,1.066 ,0.967 ,0.967 
21,6.0,21.29 ,20,0.25,0.285 ,0.215 ,0.152 ,0.848 ,1.000 ,1.000 ,1.000 
21,7,21.29 ,20,0.25,0.111 ,0.381 ,0.053 ,0.907 ,0.900 ,1.050 ,1.050 
22,0,20.24 ,20,0.25,1.000 ,0.000 ,2.000 ,0.000 ,1.000 ,1.000 ,2.000 
22,1,20.24 ,20,0.25,0.907 ,0.056 ,1.773 ,0.076 ,1.042 ,0.973 ,1.985 
22,2,20.24 ,20,0.25,0.852 ,0.094 ,1.574 ,0.163 ,1.067 ,0.968 ,1.965 
22,4.0,20.24 ,20,0.25,0.733 ,0.181 ,1.069 ,0.408 ,1.133 ,0.932 ,1.935 
22,5.0,20.24 ,20,0.25,0.706 ,0.215 ,0.847 ,0.538 ,1.133 ,0.932 ,1.935 
22,6.0,20.24 ,20,0.25,0.665 ,0.277 ,0.617 ,0.674 ,1.111 ,0.939 ,1.949 
22,7,20.24 ,20,0.25,0.615 ,0.358 ,0.437 ,0.783 ,1.058 ,0.977 ,1.965 
