exp,T,V,E,Ci,Ki,t,CF_LA,CA_LA,CF_K,CB_K,NF_LA,NA_LA,NF_K,NB_K,VF,VA,VB
3,23.58333333,20,0.25,0.5,1,5,0.117430378,0.375316576,0.213862701,0.767867406,0.102164429,0.397835571,0.18606055,0.81393945,0.87,1.06,1.06
3,23.58333333,20,0.25,0.5,1,6,-0.006415871,0.459211543,0.004163298,0.897900326,-0.005132697,0.505132697,0.003330638,0.996669362,0.8,1.1,1.11
4,22.12,30,0.25,1,2,0,1,0,2,0,1,0,2,0,1,1,1
4,22.12,30,0.25,1,2,1,0.949724377,0.050783458,1.660364583,0.350139605,0.949724377,0.050275623,1.660364583,0.339635417,1,0.99,0.97
4,22.12,30,0.25,1,2,1.7,0.914290406,0.086575347,1.391323212,0.627501843,0.914290406,0.085709594,1.391323212,0.608676788,1,0.99,0.97
4,22.12,30,0.25,1,2,4,0.468333736,0.583422353,0.009391332,1.748289837,0.346566965,0.653433035,0.006949586,1.993050414,0.74,1.12,1.14
4,22.12,30,0.25,1,2,5,-0.004348526,0.842455584,0.005162328,1.692377839,-0.002522145,1.002522145,0.00299415,1.99700585,0.58,1.19,1.18
5,21.45,30,0.25,1,2,0,1,0,2,0,1,0,2,0,1,1,2
5,21.45,30,0.25,1,2,1,1.019683787,-0.061081958,1.689719826,0.122571405,1.060471138,-0.060471138,1.757308619,0.242691381,1.04,0.99,1.98
5,21.45,30,0.25,1,2,2,0.975244092,-0.034447692,1.51804701,0.198411253,1.033758738,-0.033758738,1.609129831,0.390870169,1.06,0.98,1.97
5,21.45,30,0.25,1,2,3,0.898938119,0.093002525,1.13088313,0.433236383,0.9079275,0.0920725,1.142191961,0.857808039,1.01,0.99,1.98
5,21.45,30,0.25,1,2,4,0.737685468,0.319132256,0.727598004,0.662319711,0.671293776,0.328706224,0.662114184,1.337885816,0.91,1.03,2.02
5,21.45,30,0.25,1,2,6,-0.006522057,0.772391458,0.004670184,0.868285993,-0.004108896,1.004108896,0.002942216,1.997057784,0.63,1.3,2.3
6,23.075,30,0.25,1,2,0,1,0,2,0,1,0,2,0,1,1,2
6,23.075,30,0.25,1,2,1,0.948327549,0.014164277,1.714027221,0.112067881,0.986260651,0.013739349,1.78258831,0.21741169,1.04,0.97,1.94
6,23.075,30,0.25,1,2,2,0.887630943,0.115844389,1.336946665,0.340027351,0.887630943,0.112369057,1.336946665,0.663053335,1,0.97,1.95
6,23.075,30,0.25,1,2,3,0.781363308,0.289840987,0.944649317,0.568302828,0.718854243,0.281145757,0.869077372,1.130922628,0.92,0.97,1.99
6,23.075,30,0.25,1,2,3.5,0.663890734,0.42668188,0.655838748,0.704147926,0.577584939,0.422415061,0.570579711,1.429420289,0.87,0.99,2.03
6,23.075,30,0.25,1,2,4,0.456625452,0.608824918,0.451292376,0.810502789,0.342469089,0.657530911,0.338469282,1.661530718,0.75,1.08,2.05
6,23.075,30,0.25,1,2,4.5,0.181709621,0.789583295,0.288866904,0.858843098,0.123562542,0.876437458,0.196429495,1.803570505,0.68,1.11,2.1
6,23.075,30,0.25,1,2,5,-0.004998238,0.895534771,0.00448528,0.933321884,-0.002998943,1.002998943,0.002691168,1.997308832,0.6,1.12,2.14
7,20.74,30,0.25,0.5,1,0,0.5,0,1,0,0.5,0,1,0,1,1,2
7,20.74,30,0.25,0.5,1,1,0.482291191,0.022991552,0.982552616,0.013501441,0.477468279,0.022531721,0.97272709,0.02727291,0.99,0.98,2.02
7,20.74,30,0.25,0.5,1,2,0.447994667,0.057638041,0.684852424,0.161807085,0.44351472,0.05648528,0.6780039,0.3219961,0.99,0.98,1.99
7,20.74,30,0.25,0.5,1,3,0.334787204,0.15516918,0.356275898,0.329706159,0.34483082,0.15516918,0.366964175,0.633035825,1.03,1,1.92
7,20.74,30,0.25,0.5,1,4,0.007326955,0.451321422,0.006944591,0.551311639,0.00805965,0.49194035,0.00763905,0.99236095,1.1,1.09,1.8
8,22.45,30,0.25,1,2,0,1,0,2,0,1,0,2,0,1,1,2
8,22.45,30,0.25,1,2,1,0.948863306,0.013315315,1.746489162,0.097686847,0.986817838,0.013182162,1.816348728,0.183651272,1.04,0.99,1.88
8,22.45,30,0.25,1,2,2,0.890375415,0.092744522,1.332286086,0.335637797,0.908182923,0.091817077,1.358931808,0.641068192,1.02,0.99,1.91
8,22.45,30,0.25,1,2,3,0.794507391,0.229327831,1.015343459,0.517916758,0.770672169,0.229327831,0.984883155,1.015116845,0.97,1,1.96
8,22.45,30,0.25,1,2,4,0.556765919,0.499108733,0.545935004,0.771184479,0.450980394,0.549019606,0.442207353,1.557792647,0.81,1.1,2.02
8,22.45,30,0.25,1,2,5,0.038907057,0.748280815,0.218590811,0.914349719,0.02723494,0.97276506,0.153013568,1.846986432,0.7,1.3,2.02
9,20.7375,30,0.25,1.5,1.5,0,1.5,0,1.5,0,1.5,0,1.5,0,1,1,2
9,20.7375,30,0.25,1.5,1.5,1,1.437503045,-0.053033625,1.406686874,-0.009807053,1.552503289,-0.052503289,1.519221824,-0.019221824,1.08,0.99,1.96
9,20.7375,30,0.25,1.5,1.5,2,1.31822991,-0.016983401,1.098447137,0.124624101,1.515964397,-0.015964397,1.263214208,0.236785792,1.15,0.94,1.9
9,20.7375,30,0.25,1.5,1.5,3,1.258561574,0.056015096,0.940194618,0.222753292,1.44734581,0.05265419,1.081223811,0.418776189,1.15,0.94,1.88
9,20.7375,30,0.25,1.5,1.5,4,1.175138669,0.212604432,0.821005442,0.316496752,1.304403923,0.195596077,0.911316041,0.588683959,1.11,0.92,1.86
9,20.7375,30,0.25,1.5,1.5,5,1.072937648,0.348191163,0.605171565,0.440840995,1.15877266,0.34122734,0.65358529,0.84641471,1.08,0.98,1.92
9,20.7375,30,0.25,1.5,1.5,6,0.887184747,0.63692823,0.431371723,0.58546506,0.869441052,0.630558948,0.422744289,1.077255711,0.98,0.99,1.84
9,20.7375,30,0.25,1.5,1.5,7,0.597264147,0.962462268,0.315334589,0.620509628,0.537537732,0.962462268,0.28380113,1.21619887,0.9,1,1.96
10,20.08571429,30,0.25,1,2,0,1,0,2,0,1,0,2,0,1,1,2
10,20.08571429,30,0.25,1,2,1,0.949478483,-0.025693699,1.89420732,-0.023338728,1.025436762,-0.025436762,2.045743906,-0.045743906,1.08,0.99,1.96
10,20.08571429,30,0.25,1,2,3,0.885520998,-0.01952037,1.444751021,0.178177014,1.018349148,-0.018349148,1.661463674,0.338536326,1.15,0.94,1.9
10,20.08571429,30,0.25,1,2,5,0.830900915,0.047302072,1.230566781,0.311089469,0.955536052,0.044463948,1.415151798,0.584848202,1.15,0.94,1.88
10,20.08571429,30,0.25,1,2,7,0.788302239,0.135852734,1.008931745,0.473164389,0.875015485,0.124984515,1.119914237,0.880085763,1.11,0.92,1.86
10,20.08571429,30,0.25,1,2,24,0.417902646,0.55986239,0.473926404,0.775083065,0.451334858,0.548665142,0.511840516,1.488159484,1.08,0.98,1.92
10,20.08571429,30,0.25,1,2,27,0.371469948,0.642383284,0.455816012,0.84418495,0.364040549,0.635959451,0.446699692,1.553300308,0.98,0.99,1.84
11,25.33333333,30,0.25,3,6,0,3,0,6,0,3,0,6,0,1,1,2
11,25.33333333,30,0.25,3,6,1,2.724377024,0.086649576,5.307871115,0.152656146,2.915083416,0.084916584,5.679422093,0.320577907,1.07,0.98,2.1
11,25.33333333,30,0.25,3,6,3,2.430761955,0.471263102,3.581204654,1.136921377,2.552300053,0.447699947,3.760264887,2.239735113,1.05,0.95,1.97
11,25.33333333,30,0.25,3,6,4,2.305732425,0.578980954,2.964465078,1.394836555,2.421019046,0.578980954,3.112688332,2.887311668,1.05,1,2.07
11,25.33333333,30,0.25,3,6,5,2.172027036,1.067270792,2.35208949,1.898628623,1.911383792,1.088616208,2.069838751,3.930161249,0.88,1.02,2.07
11,25.33333333,30,0.25,3,6,6,1.976344057,1.319775615,1.80655774,2.150500785,1.482258043,1.517741957,1.354918305,4.645081695,0.75,1.15,2.16
12,23.7,30,0.25,1,2,0,1,0,2,0,1,0,2,0,1,1,2
12,23.7,30,0.25,1,2,1,0.954562072,-0.021817772,1.646144357,0.120517948,1.021381417,-0.021381417,1.761374462,0.238625538,1.07,0.98,1.98
12,23.7,30,0.25,1,2,3,0.884312288,0.081954306,1.165524238,0.397906461,0.91968478,0.08031522,1.212145208,0.787854792,1.04,0.98,1.98
12,23.7,30,0.25,1,2,4,0.78380153,0.264010363,0.609907401,0.717234648,0.735989637,0.264010363,0.57270305,1.42729695,0.939,1,1.99
12,23.7,30,0.25,1,2,5,0.477645064,0.54374288,0.20943142,1.739211353,0.396445403,0.603554597,0.173828079,1.826171921,0.83,1.11,1.05
12,23.7,30,0.25,1,2,6,0.011028587,0.769465773,0.014696976,0.92565257,0.007389153,0.992610847,0.009846974,1.990153026,0.67,1.29,2.15
13,20.54285714,10,0.25,1,2,0,1,0,2,0,1,0,2,0,1,1,2
13,20.54285714,10,0.25,1,2,1,0.950143766,-0.026964193,1.857354554,-0.00309527,1.026155267,-0.026155267,2.005942918,-0.005942918,1.08,0.97,1.92
13,20.54285714,10,0.25,1,2,2,0.905567551,-0.034411711,1.695693666,0.035590011,1.032347008,-0.032347008,1.933090779,0.066909221,1.14,0.94,1.88
13,20.54285714,10,0.25,1,2,3,0.868288037,-0.036155178,1.52768058,0.097358348,1.033262764,-0.033262764,1.81793989,0.18206011,1.19,0.92,1.87
13,20.54285714,10,0.25,1,2,4,0.875567856,-0.007756218,1.356132344,0.229399898,1.006903034,-0.006903034,1.559552196,0.440447804,1.15,0.89,1.92
13,20.54285714,10,0.25,1,2,20,0.497535056,0.439322566,0.283350994,0.896764187,0.661721624,0.338278376,0.376856822,1.623143178,1.33,0.77,1.81
13,20.54285714,10,0.25,1,2,21,0.471181005,0.484843199,0.263890083,0.911064193,0.626670737,0.373329263,0.350973811,1.649026189,1.33,0.77,1.81
14,25.75,30,0.25,3,6,0,3,0,6,0,3,0,6,0,1,1,2
14,25.75,30,0.25,3,6,1,2.849088023,-0.020442147,4.923759555,0.400417883,3.020033304,-0.020033304,5.219185128,0.780814872,1.06,0.98,1.95
14,25.75,30,0.25,3,6,2,2.689378871,0.069976562,4.177433417,0.753436237,2.931422969,0.068577031,4.553402425,1.446597575,1.09,0.98,1.92
14,25.75,30,0.25,3,6,3,2.553989247,0.321526557,3.317337743,1.310830922,2.681688709,0.318311291,3.48320463,2.51679537,1.05,0.99,1.92
14,25.75,30,0.25,3,6,4,2.294271646,0.789603188,2.568502864,1.794029061,2.20250078,0.79749922,2.465762749,3.534237251,0.96,1.01,1.97
14,25.75,30,0.25,3,6,5,2.296079215,0.93215625,1.929576322,2.000260075,1.974628125,1.025371875,1.659435637,4.340564363,0.86,1.1,2.17
15,24.48571429,20,0.25,3,6,0,3,0,6,0,3,0,6,0,1,1,2
15,24.48571429,20,0.25,3,6,3,2.460320608,0.108788407,4.14246391,0.601023019,2.903178318,0.096821682,4.888107414,1.111892586,1.18,0.89,1.85
15,24.48571429,20,0.25,3,6,4,2.414921277,0.158986537,3.650312587,0.914961521,2.861681713,0.138318287,4.325620416,1.674379584,1.185,0.87,1.83
15,24.48571429,20,0.25,3,6,5,2.287427208,0.367852463,3.110836136,1.296880066,2.676289833,0.323710167,3.639678279,2.360321721,1.17,0.88,1.82
15,24.48571429,20,0.25,3,6,6,2.151427134,0.639199257,2.686913753,1.568141513,2.431112661,0.568887339,3.036212541,2.963787459,1.13,0.89,1.89
15,24.48571429,20,0.25,3,6,7,2.063401395,0.843699415,2.321117447,1.826306307,2.249107521,0.750892479,2.530018017,3.469981983,1.09,0.89,1.9
15,24.48571429,20,0.25,3,6,22.5,-0.048111983,2.952496937,0.040390142,2.251994874,-0.011546876,3.011546876,0.009693634,5.990306366,0.24,1.02,2.66
16,26.54285714,30,0.25,3,6,0,3,0,6,0,3,0,6,0,1,1,3
16,26.54285714,30,0.25,3,6,1,2.695049981,0.036541259,5.067283525,0.142470944,2.964554979,0.035445021,5.574011877,0.425988123,1.1,0.97,2.99
16,26.54285714,30,0.25,3,6,3,2.351083264,0.42225348,3.291455144,0.775048646,2.58619159,0.41380841,3.620600658,2.379399342,1.1,0.98,3.07
16,26.54285714,30,0.25,3,6,4,2.230801463,0.739495566,2.484352931,1.129709883,2.253109478,0.746890522,2.50919646,3.49080354,1.01,1.01,3.09
16,26.54285714,30,0.25,3,6,5,2.026433687,1.069281529,1.775205657,1.462563093,1.823790318,1.176209682,1.597685091,4.402314909,0.9,1.1,3.01
16,26.54285714,30,0.25,3,6,6,2.001470885,1.209119924,1.237830574,1.672588755,1.56114729,1.43885271,0.965507848,5.034492152,0.78,1.19,3.01
16,26.54285714,30,0.25,3,6,7,1.389900221,1.855257877,0.839802646,1.781068546,0.792243126,2.207756874,0.478687508,5.521312492,0.57,1.19,3.1
17,20.84,10,0.25,1,2,0,1,0,2,0,1,0,2,0,1,1,2
17,20.84,10,0.25,1,2,1,0.967391366,-0.098054994,1.694499042,0.042608042,1.093152244,-0.093152244,1.914783917,0.085216083,1.13,0.95,2
17,20.84,10,0.25,1,2,3,0.864776968,-0.055718699,1.347737063,0.190789194,1.050704016,-0.050704016,1.637500531,0.362499469,1.215,0.91,1.9
17,20.84,10,0.25,1,2,4,0.417919139,0.597795649,0.223270448,0.897517373,0.551653263,0.448346737,0.294716991,1.705283009,1.32,0.75,1.9
17,20.84,10,0.25,1,2,5,0.388391003,0.649765168,0.210133333,0.906644211,0.512676124,0.487323876,0.277376,1.722624,1.32,0.75,1.9
18,21.75,20,0.25,1,2,0,1,0,2,0,1,0,2,0,1,1,2
18,21.75,20,0.25,1,2,2,0.885206967,0.027655091,1.455691123,0.200371741,0.973727664,0.026272336,1.601260235,0.398739765,1.1,0.95,1.99
18,21.75,20,0.25,1,2,4,0.786678409,0.151617589,0.854768449,0.536835372,0.857479466,0.142520534,0.931697609,1.068302391,1.09,0.94,1.99
18,21.75,20,0.25,1,2,9,0.026403294,0.931258317,0.023188018,0.900237302,0.022178767,0.977821233,0.019477935,1.980522065,0.84,1.05,2.2
19,20.81428571,10,0.25,1,2,0,1,0,2,0,1,0,2,0,1,1,2
19,20.81428571,10,0.25,1,2,2,0.891215046,-0.016826477,1.667924885,0.051605042,1.015985153,-0.015985153,1.901434369,0.098565631,1.14,0.95,1.91
19,20.81428571,10,0.25,1,2,4,0.829153977,-0.003522916,1.337709866,0.205038205,1.003276312,-0.003276312,1.618628938,0.381371062,1.21,0.93,1.86
19,20.81428571,10,0.25,1,2,20,0.528552232,0.353749864,0.320203304,0.854350224,0.734687602,0.265312398,0.445082593,1.554917407,1.39,0.75,1.82
19,20.81428571,10,0.25,1,2,21.91666667,0.50099908,0.417055769,0.293404009,0.866903515,0.691378731,0.308621269,0.404897532,1.595102468,1.38,0.74,1.84
19,20.81428571,10,0.25,1,2,24,0.467813557,0.491911544,0.27010792,0.87631836,0.640904573,0.359095427,0.370047851,1.629952149,1.37,0.73,1.86
19,20.81428571,10,0.25,1,2,26,0.434173419,0.597439456,0.250888287,0.875689313,0.581792381,0.418207619,0.336190305,1.663809695,1.34,0.7,1.9
20,26.65,30,0.25,3,6,0,3,0,6,0,3,0,6,0,1,1,6
20,26.65,30,0.25,3,6,1,2.84015442,-0.068047246,4.711055837,0.15590764,3.067366774,-0.067366774,5.087940304,0.912059696,1.08,0.99,5.85
20,26.65,30,0.25,3,6,3,2.459828883,0.333383307,2.881751878,0.497880685,2.656615194,0.343384806,3.112292028,2.887707972,1.08,1.03,5.8
20,26.65,30,0.25,3,6,4,2.421563043,0.591385111,2.189674415,0.664503288,2.373131782,0.626868218,2.145880927,3.854119073,0.98,1.06,5.8
20,26.65,30,0.25,3,6,5,2.114061049,0.990979371,1.59124061,0.786274917,1.860373723,1.139626277,1.400291737,4.599708263,0.88,1.15,5.85
20,26.65,30,0.25,3,6,6,1.764301314,1.348078772,1.071390327,0.899635355,1.287939959,1.712060041,0.782114939,5.217885061,0.73,1.27,5.8
20,26.65,30,0.25,3,6,7,1.263048444,1.640332653,0.721591089,0.947236115,0.719937613,2.280062387,0.411306921,5.588693079,0.57,1.39,5.9
20,26.65,30,0.25,3,6,8,0.604688463,1.846812256,0.300865097,0.980945211,0.229781616,2.770218384,0.114328737,5.885671263,0.38,1.5,6
21,22.32,10,0.25,3,6,0,3,0,6,0,3,0,6,0,1,1,2
21,22.32,10,0.25,3,6,2,2.461243438,-0.003018882,4.392328983,0.346680346,3.002716994,-0.002716994,5.358641359,0.641358641,1.22,0.9,1.85
21,22.32,10,0.25,3,6,4,2.235977918,0.057069586,3.388808983,0.872441225,2.951490852,0.048509148,4.473227857,1.526772143,1.32,0.85,1.75
21,22.32,10,0.25,3,6,19,1.505084823,0.679773704,1.561768421,2.041041099,2.694101833,0.305898167,2.795565474,3.204434526,1.79,0.45,1.57
21,22.32,10,0.25,3,6,20,1.456945646,0.871260651,1.478016,2.136529529,2.607932707,0.392067293,2.64564864,3.35435136,1.79,0.45,1.57
22,22.73333333,20,0.25,3,6,0,3,0,6,0,3,0,6,0,1,1,2
22,22.73333333,20,0.25,3,6,1,2.672689048,0.060648532,4.839662999,0.352276407,2.939957953,0.060042047,5.323629299,0.676370701,1.1,0.99,1.92
22,22.73333333,20,0.25,3,6,4,2.148674338,0.443779784,3.318988698,1.090385709,2.578409205,0.421590795,3.982786438,2.017213562,1.2,0.95,1.85
22,22.73333333,20,0.25,3,6,5,2.078151488,0.532861279,2.938012971,1.3375051,2.493781785,0.506218215,3.525615565,2.474384435,1.2,0.95,1.85
22,22.73333333,20,0.25,3,6,6,1.874321729,0.790330447,2.682085263,1.503512262,2.249186075,0.750813925,3.218502315,2.781497685,1.2,0.95,1.85
22,22.73333333,20,0.25,3,6,8,1.850064431,0.820971245,1.716565598,2.129795288,2.220077317,0.779922683,2.059878718,3.940121282,1.2,0.95,1.85
23,23.65714286,30,0.25,3,6,0,3,0,6,0,3,0,6,0,1,1,3
23,23.65714286,30,0.25,3,6,1,2.779492903,-0.057442193,4.914012411,0.205029775,3.057442193,-0.057442193,5.405413652,0.594586348,1.1,1,2.9
23,23.65714286,30,0.25,3,6,2,2.750955744,-0.081889326,4.081448578,0.492681929,3.081070433,-0.081070433,4.571222407,1.428777593,1.12,0.99,2.9
23,23.65714286,30,0.25,3,6,3,2.46475281,0.165534268,3.434422705,0.732290675,2.834465732,0.165534268,3.949586111,2.050413889,1.15,1,2.8
23,23.65714286,30,0.25,3,6,4,2.352416512,0.412341837,2.902680818,1.00251825,2.587658163,0.412341837,3.1929489,2.8070511,1.1,1,2.8
23,23.65714286,30,0.25,3,6,5,2.137026303,0.649271067,2.371213591,1.211308946,2.350728933,0.649271067,2.60833495,3.39166505,1.1,1,2.8
23,23.65714286,30,0.25,3,6,7,1.947945239,1.098082164,1.343274693,1.719923206,1.79210962,1.20789038,1.235812718,4.764187282,0.92,1.1,2.77
24,18.25714286,20,0.25,1,2,0,1,0,2,0,1,0,2,0,1,1,2
24,18.25714286,20,0.25,1,2,1,0.945892667,0.0068127,1.790604491,0.061469376,0.9931873,0.0068127,1.880134716,0.119865284,1.05,1,1.95
24,18.25714286,20,0.25,1,2,3,0.872058493,0.040735658,1.345199143,0.273832075,0.959264342,0.040735658,1.479719057,0.520280943,1.1,1,1.9
24,18.25714286,20,0.25,1,2,4,0.835502495,0.080947256,1.098245428,0.416805278,0.919052744,0.080947256,1.208069971,0.791930029,1.1,1,1.9
24,18.25714286,20,0.25,1,2,5,0.796486099,0.123865291,0.874775682,0.5461825,0.876134709,0.123865291,0.96225325,1.03774675,1.1,1,1.9
24,18.25714286,20,0.25,1,2,6,0.755331829,0.191794943,0.673765987,0.662730774,0.808205057,0.191794943,0.720929606,1.279070394,1.07,1,1.93
24,18.25714286,20,0.25,1,2,7,0.698490059,0.28754014,0.505419377,0.765191874,0.71245986,0.28754014,0.515527765,1.484472235,1.02,1,1.94
25,18.91666667,30,0.25,1,2,0,1,0,2,0,1,0,2,0,1,1,2
25,18.91666667,30,0.25,1,2,2,0.921964415,-0.014160857,1.412900808,0.228620057,1.014160857,-0.014160857,1.554190889,0.445809111,1.1,1,1.95
25,18.91666667,30,0.25,1,2,3,0.865837905,0.089088431,1.025737237,0.473320975,0.9091298,0.0908702,1.077024099,0.922975901,1.05,1.02,1.95
25,18.91666667,30,0.25,1,2,4,0.770320284,0.225176192,0.643195511,0.678402245,0.770320284,0.229679716,0.643195511,1.356804489,1,1.02,2
25,18.91666667,30,0.25,1,2,5,0.647918483,0.385993856,0.382553449,0.827850948,0.583126635,0.416873365,0.344298104,1.655701896,0.9,1.08,2
25,18.91666667,30,0.25,1,2,6,0.504211041,0.54239197,0.220710093,0.889478988,0.403368833,0.596631167,0.176568074,1.823431926,0.8,1.1,2.05
26,19.4,30,0.25,0.5,1,0,0.5,0,1,0,0.5,0,1,0,1,1,2
26,19.4,30,0.25,0.5,1,2,0.448100878,0.051899122,0.60408594,0.19795703,0.448100878,0.051899122,0.60408594,0.39591406,1,1,2
26,19.4,30,0.25,0.5,1,3,0.383089356,0.116910644,0.311231674,0.344384163,0.383089356,0.116910644,0.311231674,0.688768326,1,1,2
26,19.4,30,0.25,0.5,1,4,0.239088524,0.271257455,0.1264048,0.432310088,0.215179672,0.284820328,0.11376432,0.88623568,0.9,1.05,2.05
26,19.4,30,0.25,0.5,1,5,0.065419162,0.403994284,0.038207046,0.471962932,0.055606288,0.444393712,0.032475989,0.967524011,0.85,1.1,2.05
26,19.4,30,0.25,0.5,1,6,-0.005966931,0.458885041,0.003788695,0.486326363,-0.004773545,0.504773545,0.003030956,0.996969044,0.8,1.1,2.05
27,22.8,30,0.25,3,6,0,3,0,6,0,3,0,6,0,1,1,3
27,22.8,30,0.25,3,6,2,2.55159208,0.065669108,4.191028109,0.406305568,2.934330892,0.065669108,4.819682325,1.180317675,1.15,1,2.905
27,22.8,30,0.25,3,6,3,2.333295185,0.22337873,3.658581237,0.589011924,2.77662127,0.22337873,4.353711672,1.646288328,1.19,1,2.795
27,22.8,30,0.25,3,6,4.166666667,2.173164455,0.392202654,3.113495569,0.809948235,2.607797346,0.392202654,3.736194683,2.263805317,1.2,1,2.795
27,22.8,30,0.25,3,6,5,1.960176359,0.667390133,2.678841552,0.995461435,2.332609867,0.667390133,3.187821447,2.812178553,1.19,1,2.825
27,22.8,30,0.25,3,6,6,2.026879964,0.64960004,2.309212252,1.183860499,2.330911959,0.669088041,2.65559409,3.34440591,1.15,1.03,2.825
28,21.34285714,20,0.25,0.5,1,0,0.5,0,1,0,0.5,0,1,0,1,1,1
28,21.34285714,20,0.25,0.5,1,1,0.486529473,-0.001125357,0.939909418,0.031893299,0.501125357,-0.001125357,0.968106701,0.031893299,1.03,1,1
28,21.34285714,20,0.25,0.5,1,3,0.469756094,-0.007336582,0.733082573,0.219232443,0.507336582,-0.007336582,0.791729179,0.208270821,1.08,1,0.95
28,21.34285714,20,0.25,0.5,1,4,0.435974428,0.029442038,0.553719481,0.423139959,0.470852382,0.029147618,0.598017039,0.401982961,1.08,0.99,0.95
28,21.34285714,20,0.25,0.5,1,5,0.39643865,0.073312508,0.338219036,0.647676981,0.428153742,0.071846258,0.365276559,0.634723441,1.08,0.98,0.98
28,21.34285714,20,0.25,0.5,1,6,0.28502153,0.21497847,0.152224051,0.847775949,0.28502153,0.21497847,0.152224051,0.847775949,1,1,1
28,21.34285714,20,0.25,0.5,1,7,0.099573992,0.39084134,0.04732382,0.911817678,0.089616593,0.410383407,0.042591438,0.957408562,0.9,1.05,1.05
29,20.38571429,20,0.25,1,2,0,1,0,2,0,1,0,2,0,1,1,2
29,20.38571429,20,0.25,1,2,1,0.945071955,0.007831068,1.848198796,0.029695632,0.992325553,0.007674447,1.940608736,0.059391264,1.05,0.98,2
29,20.38571429,20,0.25,1,2,2,0.909461223,0.027707723,1.680304733,0.102575602,0.973123509,0.026876491,1.797926064,0.202073936,1.07,0.97,1.97
29,20.38571429,20,0.25,1,2,4,0.830789519,0.065814886,1.210516671,0.327521327,0.938792156,0.061207844,1.367883838,0.632116162,1.13,0.93,1.93
29,20.38571429,20,0.25,1,2,5,0.799831378,0.103430691,0.959039034,0.47475953,0.903809457,0.096190543,1.083714108,0.916285892,1.13,0.93,1.93
29,20.38571429,20,0.25,1,2,6,0.739404374,0.200704504,0.685487308,0.645577182,0.813344811,0.186655189,0.754036039,1.245963961,1.1,0.93,1.93
29,20.38571429,20,0.25,1,2,7,0.650386462,0.326901253,0.461813161,0.776972401,0.682905785,0.317094215,0.484903819,1.515096181,1.05,0.97,1.95
30,20.31666667,20,0.25,3,6,0,3,0,6,0,3,0,6,0,1,1,2
30,20.31666667,20,0.25,3,6,4,2.074338017,0.462588044,3.369278766,0.94126397,2.592922521,0.407077479,4.211598457,1.788401543,1.25,0.88,1.9
